description,category,amount,date
Miscellaneous expense,Dining,2059,11-07-2023
Clothes shopping,Shopping,4352,25-03-2023
Gym membership,Fitness,2494,13-06-2023
Medicine purchase,Healthcare,5955,25-03-2023
Monthly grocery stock,Groceries,6017,03-08-2023
Anniversary present,Gifts,898,29-05-2023
Home insurance,Insurance,1358,21-09-2023
Footwear purchase,Shopping,1648,03-11-2023
Miscellaneous expense,Medical,5280,17-12-2023
Car insurance renewal,Insurance,6039,19-02-2023
Home insurance,Insurance,5861,15-03-2023
Concert ticket,Entertainment,8589,25-05-2023
Internet bill,Utilities,6850,24-06-2023
Miscellaneous expense,Medical,3669,21-03-2023
Footwear purchase,Shopping,3187,14-10-2023
Pet grooming,Pets,8712,30-09-2023
Home insurance,Insurance,1967,02-08-2023
Doctor visit,Healthcare,2009,09-03-2023
Gaming subscription,Entertainment,5805,09-06-2023
Water bill,Utilities,7340,02-11-2023
Online store order,Shopping,2921,30-12-2023
Health insurance premium,Insurance,2043,24-04-2023
Book purchase,Education,3812,07-06-2023
Book purchase,Education,2233,10-02-2023
Lunch with friends,Dining Out,1373,10-01-2023
Tour package,Travel,796,11-04-2023
Apartment rent,Rent,8512,31-10-2023
Fruit market purchase,Groceries,2048,10-05-2023
Bought vegetables,Groceries,5042,08-12-2023
Movie ticket,Entertainment,2128,05-11-2023
Footwear purchase,Shopping,3127,10-12-2023
Electricity bill,Utilities,1587,16-03-2023
Miscellaneous expense,Dining,5870,24-03-2023
Footwear purchase,Shopping,8372,19-10-2023
Bus pass recharge,Transport,9572,08-01-2023
Footwear purchase,Shopping,3238,25-05-2023
Miscellaneous expense,Medical,1716,20-04-2023
Mall shopping,Shopping,6104,24-12-2023
Gym membership,Fitness,7303,11-12-2023
House maintenance fee,Rent,5913,14-07-2023
Dinner at restaurant,Dining Out,8525,27-04-2023
Lunch with friends,Dining Out,5249,05-03-2023
Doctor visit,Healthcare,8615,11-03-2023
Travel insurance,Travel,4823,13-10-2023
Bought vegetables,Groceries,5475,10-09-2023
Monthly housing fee,Rent,4746,22-08-2023
Pet grooming,Pets,5211,18-12-2023
Medicine purchase,Healthcare,9175,28-07-2023
Car insurance renewal,Insurance,3193,05-02-2023
Travel insurance,Travel,3037,07-01-2023
New furniture,Household,1823,22-07-2023
Doctor visit,Healthcare,2053,15-03-2023
Internet bill,Utilities,9775,22-02-2023
Miscellaneous expense,Medical,6059,12-04-2023
Miscellaneous expense,Personal Care,9847,26-07-2023
House maintenance fee,Rent,7058,13-09-2023
Miscellaneous expense,Dining,6657,02-07-2023
Tour package,Travel,8038,19-09-2023
Miscellaneous expense,Dining,7548,25-02-2023
Water bill (rent included),Rent,8117,12-09-2023
Hotel booking,Travel,586,20-02-2023
Bought vegetables,Groceries,8261,14-12-2023
Concert ticket,Entertainment,6369,06-11-2023
New furniture,Household,2602,05-06-2023
Pet grooming,Pets,1678,09-02-2023
Home decor,Household,8164,27-08-2023
Online store order,Shopping,8257,09-09-2023
Online store order,Shopping,8987,25-06-2023
Home insurance,Insurance,389,17-01-2023
Lunch with friends,Dining Out,6385,19-08-2023
Miscellaneous expense,Personal Care,7350,24-08-2023
Bought vegetables,Groceries,2997,13-10-2023
New furniture,Household,2789,09-09-2023
Dinner at restaurant,Dining Out,5219,19-07-2023
Flight booking,Travel,9420,12-12-2023
Tour package,Travel,7897,15-10-2023
Miscellaneous expense,Medical,6512,15-05-2023
Tour package,Travel,5879,26-05-2023
Miscellaneous expense,Personal Care,561,30-10-2023
Supermarket visit,Groceries,6103,28-06-2023
Gym membership,Fitness,5691,14-07-2023
Monthly housing fee,Rent,5754,02-07-2023
Café snacks,Dining Out,1024,05-12-2023
Hotel booking,Travel,3944,28-11-2023
Home insurance,Insurance,1491,19-12-2023
Train ticket,Transport,1975,22-06-2023
Miscellaneous expense,Medical,8921,16-06-2023
Fruit market purchase,Groceries,7021,18-10-2023
Mall shopping,Shopping,4468,11-01-2023
Flight booking,Travel,5285,13-07-2023
Yoga class fee,Fitness,5382,21-10-2023
Monthly housing fee,Rent,1739,20-12-2023
Cleaning supplies,Household,5604,12-09-2023
Online store order,Shopping,2830,11-11-2023
Car insurance renewal,Insurance,7243,14-04-2023
Flight booking,Travel,8879,20-04-2023
Car insurance renewal,Insurance,878,02-06-2023
Yoga class fee,Fitness,3800,16-11-2023
Bus pass recharge,Transport,9797,22-06-2023
Miscellaneous expense,Dining,9380,29-09-2023
Tour package,Travel,3536,27-06-2023
Train ticket,Transport,8368,03-06-2023
Café snacks,Dining Out,3378,01-08-2023
Gas connection payment,Utilities,8543,21-08-2023
Home decor,Household,3058,10-01-2023
Gift cards,Gifts,8557,06-04-2023
Yoga class fee,Fitness,3589,05-12-2023
Health checkup,Healthcare,8828,11-11-2023
Lunch with friends,Dining Out,8656,13-04-2023
Internet bill,Utilities,2520,04-05-2023
Online class payment,Education,7233,30-07-2023
Miscellaneous expense,Personal Care,3435,31-07-2023
Miscellaneous expense,Dining,2731,12-05-2023
Home decor,Household,3968,27-07-2023
Flight booking,Travel,2556,09-04-2023
Concert ticket,Entertainment,5187,26-08-2023
Tour package,Travel,7014,28-11-2023
Supermarket visit,Groceries,2710,20-05-2023
Course fee,Education,4333,23-05-2023
Home decor,Household,2983,26-11-2023
Fruit market purchase,Groceries,426,29-01-2023
Train ticket,Transport,9956,02-06-2023
Fuel refill,Transport,6054,10-12-2023
Cleaning supplies,Household,6602,13-03-2023
Flight booking,Travel,9454,14-09-2023
Water bill (rent included),Rent,8233,16-02-2023
Flight booking,Travel,5234,18-06-2023
Fitness supplement,Fitness,6488,01-05-2023
Dinner at restaurant,Dining Out,2463,24-02-2023
Miscellaneous expense,Medical,4598,14-08-2023
Café snacks,Dining Out,9758,29-01-2023
Travel insurance,Travel,1950,12-06-2023
Car insurance renewal,Insurance,7880,16-12-2023
Travel insurance,Travel,2474,05-07-2023
Travel insurance,Travel,5149,11-01-2023
Gift cards,Gifts,670,06-12-2023
Supermarket visit,Groceries,4244,10-10-2023
Gas connection payment,Utilities,6045,17-12-2023
House maintenance fee,Rent,7348,18-07-2023
Gaming subscription,Entertainment,4286,04-06-2023
Cab ride,Transport,4972,18-04-2023
Miscellaneous expense,Medical,5296,26-11-2023
Lunch with friends,Dining Out,4589,11-02-2023
Tour package,Travel,6865,20-06-2023
Lunch with friends,Dining Out,2727,24-12-2023
Miscellaneous expense,Dining,5864,04-08-2023
Pet grooming,Pets,9073,17-06-2023
Doctor visit,Healthcare,953,25-11-2023
Birthday gift,Gifts,7364,25-11-2023
Course fee,Education,6664,13-04-2023
Anniversary present,Gifts,5240,22-10-2023
Bus pass recharge,Transport,2685,08-05-2023
Footwear purchase,Shopping,9832,18-12-2023
Café snacks,Dining Out,7497,02-09-2023
Online class payment,Education,2942,18-12-2023
Yoga class fee,Fitness,4716,12-04-2023
Fuel refill,Transport,6122,04-04-2023
Internet bill,Utilities,9445,25-04-2023
Movie ticket,Entertainment,9250,28-11-2023
Pet grooming,Pets,3847,15-02-2023
Medicine purchase,Healthcare,4389,26-12-2023
Miscellaneous expense,Medical,6670,13-11-2023
Café snacks,Dining Out,2545,15-02-2023
Water bill,Utilities,9393,02-03-2023
Gaming subscription,Entertainment,7533,11-12-2023
Flight booking,Travel,3777,01-01-2024
Footwear purchase,Shopping,4461,28-05-2023
Tour package,Travel,2233,09-08-2023
Footwear purchase,Shopping,4736,13-12-2023
Mall shopping,Shopping,3055,29-07-2023
Course fee,Education,4854,15-05-2023
Tour package,Travel,4168,09-07-2023
Fitness supplement,Fitness,7606,13-02-2023
Gaming subscription,Entertainment,2282,15-06-2023
Water bill,Utilities,6383,29-12-2023
Café snacks,Dining Out,1296,18-02-2023
Health insurance premium,Insurance,953,20-06-2023
Tour package,Travel,5904,07-11-2023
Home decor,Household,845,03-01-2023
Miscellaneous expense,Dining,5056,22-07-2023
New furniture,Household,2266,14-10-2023
Supermarket visit,Groceries,4364,28-03-2023
Mall shopping,Shopping,5657,28-08-2023
Course fee,Education,5298,30-12-2023
Mall shopping,Shopping,2423,14-05-2023
Water bill (rent included),Rent,823,07-03-2023
Travel insurance,Travel,6007,09-08-2023
Car insurance renewal,Insurance,4421,22-09-2023
Miscellaneous expense,Personal Care,2803,11-06-2023
Hotel booking,Travel,9204,03-12-2023
Anniversary present,Gifts,971,07-04-2023
Course fee,Education,3866,04-04-2023
Fruit market purchase,Groceries,4363,25-03-2023
Lab test fee,Healthcare,2000,11-09-2023
Fruit market purchase,Groceries,5941,30-12-2023
Car insurance renewal,Insurance,7599,10-09-2023
House maintenance fee,Rent,2125,28-06-2023
Cab ride,Transport,4754,03-04-2023
Miscellaneous expense,Medical,9328,06-12-2023
Gym membership,Fitness,9660,03-01-2023
Footwear purchase,Shopping,6922,09-02-2023
Tour package,Travel,1645,18-06-2023
Netflix renewal,Entertainment,2098,21-07-2023
Electricity bill,Utilities,5400,20-03-2023
Movie ticket,Entertainment,7640,29-12-2023
New furniture,Household,7539,18-11-2023
Miscellaneous expense,Dining,5497,23-01-2023
Gift cards,Gifts,7523,16-06-2023
Gym membership,Fitness,3563,25-01-2023
Anniversary present,Gifts,5394,29-01-2023
Fuel refill,Transport,1616,24-07-2023
Miscellaneous expense,Dining,4033,24-07-2023
Bus pass recharge,Transport,3511,25-03-2023
Internet bill,Utilities,4768,28-11-2023
Birthday gift,Gifts,2075,02-06-2023
Tour package,Travel,5180,17-12-2023
Pet food,Pets,5982,07-12-2023
Water bill (rent included),Rent,8499,13-04-2023
Tour package,Travel,6458,01-09-2023
Miscellaneous expense,Dining,1578,05-08-2023
Water bill,Utilities,7212,19-11-2023
Lunch with friends,Dining Out,762,20-09-2023
Miscellaneous expense,Personal Care,3773,28-11-2023
Home decor,Household,2640,11-09-2023
Clothes shopping,Shopping,4862,28-08-2023
Lunch with friends,Dining Out,7925,03-06-2023
Book purchase,Education,5021,08-05-2023
Mall shopping,Shopping,4941,19-10-2023
Bought vegetables,Groceries,838,20-09-2023
Monthly housing fee,Rent,6866,18-02-2023
Health checkup,Healthcare,5923,11-05-2023
Gym membership,Fitness,8348,09-01-2023
Monthly housing fee,Rent,3041,04-04-2023
Electricity bill,Utilities,1464,02-08-2023
Car insurance renewal,Insurance,9720,21-08-2023
New furniture,Household,4442,24-06-2023
Miscellaneous expense,Medical,3132,10-02-2023
Vet visit,Pets,1842,11-08-2023
Health insurance premium,Insurance,195,22-07-2023
Apartment rent,Rent,2913,02-12-2023
Tour package,Travel,6737,03-12-2023
Pet grooming,Pets,8074,05-06-2023
Pet grooming,Pets,6010,20-12-2023
Home decor,Household,6571,04-06-2023
Cab ride,Transport,2313,08-01-2023
Clothes shopping,Shopping,360,23-12-2023
Clothes shopping,Shopping,3528,04-09-2023
Birthday gift,Gifts,4061,12-08-2023
Gift cards,Gifts,3227,14-02-2023
Car insurance renewal,Insurance,2527,31-08-2023
Lunch with friends,Dining Out,2008,27-03-2023
Library fee,Education,8047,30-08-2023
Gaming subscription,Entertainment,9688,05-05-2023
Online store order,Shopping,9429,20-07-2023
Monthly grocery stock,Groceries,229,22-02-2023
Gift cards,Gifts,7174,01-08-2023
Travel insurance,Travel,706,07-09-2023
Internet bill,Utilities,8510,30-10-2023
Pet grooming,Pets,8093,29-04-2023
Bought vegetables,Groceries,7014,23-10-2023
Miscellaneous expense,Personal Care,4488,28-11-2023
Ordered food online,Dining Out,2015,11-09-2023
Pet grooming,Pets,5781,18-08-2023
Lunch with friends,Dining Out,2743,28-05-2023
Mall shopping,Shopping,5733,13-08-2023
Hotel booking,Travel,9728,17-12-2023
Miscellaneous expense,Personal Care,2248,31-05-2023
Internet bill,Utilities,6002,30-08-2023
Miscellaneous expense,Medical,4727,20-12-2023
Fuel refill,Transport,2215,30-03-2023
Footwear purchase,Shopping,8163,21-02-2023
Ordered food online,Dining Out,5075,01-05-2023
Clothes shopping,Shopping,397,03-07-2023
Miscellaneous expense,Dining,2698,31-03-2023
Clothes shopping,Shopping,1143,22-06-2023
Lunch with friends,Dining Out,3814,03-03-2023
Health insurance premium,Insurance,8068,13-05-2023
Miscellaneous expense,Personal Care,864,13-10-2023
Miscellaneous expense,Dining,8544,06-11-2023
Cleaning supplies,Household,926,13-08-2023
Doctor visit,Healthcare,1834,09-11-2023
Pet food,Pets,9315,22-01-2023
Clothes shopping,Shopping,2836,19-11-2023
House maintenance fee,Rent,6025,22-03-2023
Home insurance,Insurance,7333,17-09-2023
Flight booking,Travel,2627,28-11-2023
Gas connection payment,Utilities,2357,04-03-2023
Mall shopping,Shopping,6911,04-01-2023
Tour package,Travel,5692,27-05-2023
Footwear purchase,Shopping,1496,17-05-2023
Internet bill,Utilities,6008,19-11-2023
Cleaning supplies,Household,2583,29-09-2023
Dinner at restaurant,Dining Out,2360,08-08-2023
Ordered food online,Dining Out,7616,22-09-2023
New furniture,Household,587,15-08-2023
Course fee,Education,8576,05-02-2023
Train ticket,Transport,5257,25-07-2023
Miscellaneous expense,Medical,1107,21-07-2023
Supermarket visit,Groceries,9513,30-01-2023
Gift cards,Gifts,8616,01-06-2023
Ordered food online,Dining Out,9170,05-06-2023
Miscellaneous expense,Personal Care,229,24-05-2023
Footwear purchase,Shopping,6718,17-08-2023
Birthday gift,Gifts,9019,16-11-2023
Pet grooming,Pets,7344,24-12-2023
Internet bill,Utilities,3332,04-06-2023
Bus pass recharge,Transport,8905,21-06-2023
Water bill,Utilities,8627,04-10-2023
Health insurance premium,Insurance,1620,19-09-2023
Car insurance renewal,Insurance,8641,24-06-2023
Birthday gift,Gifts,483,15-01-2023
Home insurance,Insurance,4338,04-05-2023
Home insurance,Insurance,7026,16-09-2023
Apartment rent,Rent,6210,13-05-2023
Gift cards,Gifts,5907,05-03-2023
Bought vegetables,Groceries,7452,02-06-2023
Fitness supplement,Fitness,185,21-08-2023
Miscellaneous expense,Personal Care,9628,17-10-2023
Gift cards,Gifts,8837,01-11-2023
Travel insurance,Travel,5002,26-05-2023
Home decor,Household,9484,11-12-2023
Library fee,Education,8614,07-05-2023
Water bill (rent included),Rent,8561,26-10-2023
Online store order,Shopping,7543,20-02-2023
Library fee,Education,6851,11-02-2023
Bus pass recharge,Transport,7061,08-03-2023
Hotel booking,Travel,7409,09-02-2023
Internet bill,Utilities,9737,14-10-2023
Mall shopping,Shopping,4420,27-10-2023
Tour package,Travel,7310,19-12-2023
Tour package,Travel,2768,15-03-2023
Footwear purchase,Shopping,8042,31-12-2023
Medicine purchase,Healthcare,8508,28-09-2023
House maintenance fee,Rent,7561,31-08-2023
Supermarket visit,Groceries,9259,09-07-2023
Monthly housing fee,Rent,1907,03-03-2023
Gas connection payment,Utilities,759,25-09-2023
Course fee,Education,6186,06-06-2023
Gas connection payment,Utilities,4916,06-09-2023
Concert ticket,Entertainment,2428,29-10-2023
Lunch with friends,Dining Out,5099,26-05-2023
Footwear purchase,Shopping,8108,02-01-2023
Water bill (rent included),Rent,1206,23-01-2023
Ordered food online,Dining Out,9489,08-06-2023
Yoga class fee,Fitness,5634,13-07-2023
Hotel booking,Travel,2369,16-09-2023
Anniversary present,Gifts,7471,08-12-2023
Medicine purchase,Healthcare,5428,15-02-2023
Pet grooming,Pets,6811,18-07-2023
Tour package,Travel,5654,04-10-2023
Fruit market purchase,Groceries,4644,27-11-2023
Cab ride,Transport,506,20-10-2023
Gift cards,Gifts,5160,15-10-2023
Birthday gift,Gifts,9264,13-02-2023
Clothes shopping,Shopping,9442,25-09-2023
Mall shopping,Shopping,8335,10-01-2023
House maintenance fee,Rent,410,21-05-2023
Footwear purchase,Shopping,9595,16-08-2023
Train ticket,Transport,6683,29-10-2023
Fruit market purchase,Groceries,481,24-06-2023
Dinner at restaurant,Dining Out,6898,13-01-2023
Online store order,Shopping,6358,12-05-2023
Bus pass recharge,Transport,1727,05-10-2023
Miscellaneous expense,Medical,2459,04-04-2023
Miscellaneous expense,Dining,2626,07-06-2023
Dinner at restaurant,Dining Out,1065,11-11-2023
Miscellaneous expense,Personal Care,545,01-01-2024
Monthly grocery stock,Groceries,6488,20-02-2023
Miscellaneous expense,Personal Care,6863,15-06-2023
Miscellaneous expense,Dining,2081,27-01-2023
Footwear purchase,Shopping,9881,28-10-2023
Tour package,Travel,8433,16-09-2023
Electricity bill,Utilities,4512,01-02-2023
Miscellaneous expense,Personal Care,9162,28-07-2023
Fuel refill,Transport,573,28-07-2023
Birthday gift,Gifts,405,18-05-2023
Home insurance,Insurance,1763,07-05-2023
Home insurance,Insurance,2157,05-06-2023
Yoga class fee,Fitness,7406,12-02-2023
Gift cards,Gifts,3433,14-03-2023
Water bill,Utilities,4116,03-10-2023
Ordered food online,Dining Out,784,01-01-2023
Health checkup,Healthcare,2842,01-01-2023
Fruit market purchase,Groceries,4577,03-11-2023
Miscellaneous expense,Dining,5857,20-11-2023
Online store order,Shopping,845,24-03-2023
Home insurance,Insurance,1245,03-06-2023
Fuel refill,Transport,2114,13-03-2023
Car insurance renewal,Insurance,7177,18-04-2023
Pet grooming,Pets,5315,16-12-2023
Miscellaneous expense,Personal Care,7517,20-05-2023
Travel insurance,Travel,5697,18-04-2023
Health checkup,Healthcare,360,21-12-2023
Course fee,Education,7907,03-01-2023
Concert ticket,Entertainment,6869,12-10-2023
Tour package,Travel,8916,11-02-2023
Gift cards,Gifts,1370,03-10-2023
Gaming subscription,Entertainment,2122,30-06-2023
Gas connection payment,Utilities,6436,01-04-2023
Movie ticket,Entertainment,7680,09-07-2023
Mall shopping,Shopping,253,24-04-2023
Netflix renewal,Entertainment,5962,09-04-2023
Train ticket,Transport,3723,30-04-2023
Travel insurance,Travel,702,24-05-2023
Hotel booking,Travel,216,11-04-2023
Anniversary present,Gifts,1917,23-05-2023
Fitness supplement,Fitness,8193,29-03-2023
Health insurance premium,Insurance,9368,11-12-2023
Home decor,Household,9359,31-03-2023
Cab ride,Transport,1165,07-03-2023
Miscellaneous expense,Dining,8670,21-05-2023
Clothes shopping,Shopping,8831,11-11-2023
Miscellaneous expense,Dining,132,07-08-2023
Gift cards,Gifts,949,15-06-2023
Ordered food online,Dining Out,4589,04-03-2023
Home decor,Household,7744,11-09-2023
Electricity bill,Utilities,3778,25-01-2023
Miscellaneous expense,Dining,8823,18-08-2023
Miscellaneous expense,Personal Care,6520,10-04-2023
Miscellaneous expense,Personal Care,9468,13-01-2023
Tour package,Travel,1319,08-05-2023
Footwear purchase,Shopping,5494,09-06-2023
Bus pass recharge,Transport,556,03-09-2023
Lunch with friends,Dining Out,9808,17-11-2023
Miscellaneous expense,Personal Care,4149,25-02-2023
Hotel booking,Travel,5683,28-01-2023
Miscellaneous expense,Personal Care,1294,04-11-2023
Vet visit,Pets,1667,17-11-2023
Doctor visit,Healthcare,1501,01-02-2023
Fruit market purchase,Groceries,5232,22-12-2023
Cab ride,Transport,1115,15-08-2023
Monthly grocery stock,Groceries,7175,03-02-2023
Apartment rent,Rent,9262,27-01-2023
Car insurance renewal,Insurance,6681,19-02-2023
Vet visit,Pets,3919,03-11-2023
Home decor,Household,273,21-08-2023
Internet bill,Utilities,7114,14-11-2023
Pet food,Pets,5664,30-11-2023
Cleaning supplies,Household,7539,22-09-2023
Miscellaneous expense,Personal Care,1869,22-02-2023
Movie ticket,Entertainment,9813,10-04-2023
Gym membership,Fitness,8437,12-05-2023
Internet bill,Utilities,7987,14-11-2023
Medicine purchase,Healthcare,4083,12-03-2023
Bought vegetables,Groceries,2191,09-06-2023
Yoga class fee,Fitness,8507,30-11-2023
Gas connection payment,Utilities,9662,05-10-2023
Book purchase,Education,7792,08-06-2023
Vet visit,Pets,4868,08-07-2023
Concert ticket,Entertainment,1039,02-05-2023
Clothes shopping,Shopping,7015,26-06-2023
Footwear purchase,Shopping,3397,05-02-2023
Miscellaneous expense,Personal Care,7894,22-12-2023
Health checkup,Healthcare,9576,17-10-2023
Miscellaneous expense,Personal Care,6959,18-06-2023
Miscellaneous expense,Medical,7543,22-01-2023
Hotel booking,Travel,160,24-11-2023
Hotel booking,Travel,7743,16-11-2023
Footwear purchase,Shopping,7976,19-06-2023
Water bill,Utilities,6658,05-04-2023
Netflix renewal,Entertainment,262,07-02-2023
Electricity bill,Utilities,9188,28-02-2023
Online class payment,Education,7315,10-04-2023
Gift cards,Gifts,5996,23-01-2023
Concert ticket,Entertainment,3341,26-05-2023
Miscellaneous expense,Medical,4392,31-03-2023
Miscellaneous expense,Personal Care,3025,11-04-2023
Concert ticket,Entertainment,4389,21-02-2023
Concert ticket,Entertainment,6308,02-12-2023
Water bill (rent included),Rent,3544,06-06-2023
Medicine purchase,Healthcare,6156,10-07-2023
Cleaning supplies,Household,8733,16-11-2023
Lunch with friends,Dining Out,2041,15-03-2023
Book purchase,Education,3240,30-09-2023
Gas connection payment,Utilities,5309,03-11-2023
Dinner at restaurant,Dining Out,856,12-11-2023
Gym membership,Fitness,8873,31-05-2023
Online class payment,Education,4149,28-01-2023
Anniversary present,Gifts,2171,18-09-2023
Yoga class fee,Fitness,3528,11-02-2023
Flight booking,Travel,2843,18-09-2023
Gas connection payment,Utilities,8268,23-09-2023
Medicine purchase,Healthcare,5372,31-12-2023
Internet bill,Utilities,8206,31-08-2023
Miscellaneous expense,Dining,9667,29-11-2023
Supermarket visit,Groceries,3696,14-04-2023
Medicine purchase,Healthcare,6586,22-04-2023
Car insurance renewal,Insurance,6278,20-10-2023
Miscellaneous expense,Medical,4270,09-10-2023
Cab ride,Transport,1476,01-06-2023
Health checkup,Healthcare,3871,26-10-2023
Fruit market purchase,Groceries,8492,15-11-2023
Miscellaneous expense,Personal Care,7491,28-08-2023
Ordered food online,Dining Out,6121,12-09-2023
Miscellaneous expense,Personal Care,6364,13-01-2023
Miscellaneous expense,Medical,3930,16-05-2023
Birthday gift,Gifts,5983,12-02-2023
Home insurance,Insurance,8501,07-10-2023
Birthday gift,Gifts,4628,27-04-2023
Apartment rent,Rent,1268,04-07-2023
Supermarket visit,Groceries,5568,11-04-2023
New furniture,Household,4196,04-06-2023
New furniture,Household,3223,28-12-2023
Pet food,Pets,8998,14-05-2023
Netflix renewal,Entertainment,4717,27-06-2023
Internet bill,Utilities,9601,02-12-2023
Gaming subscription,Entertainment,8499,18-03-2023
Water bill,Utilities,3817,18-04-2023
Hotel booking,Travel,8551,28-10-2023
Car insurance renewal,Insurance,7659,24-06-2023
Train ticket,Transport,3177,08-08-2023
Dinner at restaurant,Dining Out,7287,19-08-2023
Health insurance premium,Insurance,6239,13-03-2023
Gym membership,Fitness,5106,05-01-2023
Travel insurance,Travel,5667,26-04-2023
Ordered food online,Dining Out,6708,20-12-2023
Car insurance renewal,Insurance,5442,28-10-2023
Movie ticket,Entertainment,2379,20-03-2023
Miscellaneous expense,Personal Care,6347,15-04-2023
Electricity bill,Utilities,8857,17-07-2023
Mall shopping,Shopping,1879,18-06-2023
Yoga class fee,Fitness,5091,17-02-2023
Miscellaneous expense,Medical,9158,01-04-2023
Fruit market purchase,Groceries,539,06-04-2023
Clothes shopping,Shopping,6422,26-05-2023
Footwear purchase,Shopping,4869,04-12-2023
Clothes shopping,Shopping,7549,30-01-2023
Electricity bill,Utilities,2915,17-06-2023
Ordered food online,Dining Out,2672,26-02-2023
Library fee,Education,7935,05-02-2023
Water bill,Utilities,2228,16-04-2023
Car insurance renewal,Insurance,7878,23-03-2023
Pet grooming,Pets,5184,28-10-2023
Mall shopping,Shopping,4612,14-04-2023
Concert ticket,Entertainment,7402,02-02-2023
Water bill,Utilities,8715,18-06-2023
Yoga class fee,Fitness,7639,25-08-2023
Gym membership,Fitness,1592,28-05-2023
Anniversary present,Gifts,5781,25-12-2023
Car insurance renewal,Insurance,2969,01-08-2023
Hotel booking,Travel,7179,23-08-2023
Water bill,Utilities,9416,18-02-2023
Electricity bill,Utilities,4027,22-03-2023
Miscellaneous expense,Dining,1193,24-12-2023
Mall shopping,Shopping,6838,11-10-2023
Water bill (rent included),Rent,1353,23-02-2023
Online store order,Shopping,6819,19-08-2023
Miscellaneous expense,Medical,3497,17-09-2023
Fruit market purchase,Groceries,537,07-02-2023
Gift cards,Gifts,7667,15-07-2023
Miscellaneous expense,Personal Care,3285,23-07-2023
Bought vegetables,Groceries,4205,28-02-2023
Online class payment,Education,7706,06-09-2023
Doctor visit,Healthcare,1452,08-10-2023
Cleaning supplies,Household,7271,13-03-2023
Travel insurance,Travel,2743,29-03-2023
Movie ticket,Entertainment,3003,31-05-2023
Monthly housing fee,Rent,2859,09-02-2023
Cleaning supplies,Household,4576,20-03-2023
Health checkup,Healthcare,3015,21-04-2023
Supermarket visit,Groceries,7342,23-12-2023
Bought vegetables,Groceries,6499,20-12-2023
Car insurance renewal,Insurance,958,03-11-2023
Movie ticket,Entertainment,6283,14-04-2023
Travel insurance,Travel,4008,13-04-2023
Bus pass recharge,Transport,7008,15-01-2023
Netflix renewal,Entertainment,3248,15-12-2023
Cleaning supplies,Household,3713,19-02-2023
Cleaning supplies,Household,2836,23-01-2023
Lunch with friends,Dining Out,5459,15-06-2023
Home insurance,Insurance,3205,16-11-2023
Mall shopping,Shopping,7110,03-03-2023
Hotel booking,Travel,1834,02-07-2023
Miscellaneous expense,Personal Care,345,25-07-2023
Anniversary present,Gifts,296,19-07-2023
Mall shopping,Shopping,3706,03-02-2023
New furniture,Household,6145,23-01-2023
Cab ride,Transport,6835,04-06-2023
Vet visit,Pets,1768,31-12-2023
Home insurance,Insurance,2909,09-05-2023
Water bill (rent included),Rent,6466,14-12-2023
Online class payment,Education,2972,22-11-2023
Miscellaneous expense,Personal Care,1206,21-06-2023
Gaming subscription,Entertainment,6364,19-09-2023
Gift cards,Gifts,3908,15-09-2023
Fitness supplement,Fitness,317,30-04-2023
Movie ticket,Entertainment,5160,02-05-2023
Dinner at restaurant,Dining Out,1400,31-01-2023
Online class payment,Education,8271,01-06-2023
Footwear purchase,Shopping,6256,15-04-2023
Birthday gift,Gifts,4000,03-11-2023
Health checkup,Healthcare,2299,23-05-2023
Miscellaneous expense,Personal Care,8633,01-08-2023
Anniversary present,Gifts,488,28-04-2023
Miscellaneous expense,Personal Care,4069,16-04-2023
Health insurance premium,Insurance,4168,18-12-2023
Tour package,Travel,8643,14-06-2023
Miscellaneous expense,Medical,199,03-02-2023
Flight booking,Travel,3253,27-01-2023
Birthday gift,Gifts,3445,06-03-2023
Cab ride,Transport,9809,09-10-2023
Footwear purchase,Shopping,8413,10-02-2023
Ordered food online,Dining Out,5203,26-03-2023
Footwear purchase,Shopping,7047,01-04-2023
Pet food,Pets,5066,27-05-2023
Yoga class fee,Fitness,3399,20-05-2023
Flight booking,Travel,5991,23-07-2023
Water bill,Utilities,7812,14-08-2023
Ordered food online,Dining Out,2653,04-09-2023
Gaming subscription,Entertainment,7102,12-02-2023
Home insurance,Insurance,8901,20-03-2023
Home insurance,Insurance,2978,12-05-2023
Internet bill,Utilities,5111,21-08-2023
Car insurance renewal,Insurance,9310,07-11-2023
Flight booking,Travel,5559,11-03-2023
Hotel booking,Travel,2635,08-04-2023
Movie ticket,Entertainment,8303,11-07-2023
Tour package,Travel,6912,22-07-2023
Internet bill,Utilities,8120,07-06-2023
Gift cards,Gifts,1267,29-07-2023
Bought vegetables,Groceries,6404,17-10-2023
Miscellaneous expense,Medical,7248,11-05-2023
Internet bill,Utilities,6132,23-12-2023
Fruit market purchase,Groceries,7047,07-05-2023
Tour package,Travel,665,05-07-2023
Gift cards,Gifts,562,24-12-2023
Home decor,Household,2522,14-05-2023
Vet visit,Pets,2514,11-05-2023
Hotel booking,Travel,302,01-03-2023
Fuel refill,Transport,6615,28-12-2023
Gym membership,Fitness,8595,07-04-2023
Dinner at restaurant,Dining Out,7093,10-05-2023
Home insurance,Insurance,8835,04-12-2023
Gas connection payment,Utilities,6843,15-02-2023
Water bill (rent included),Rent,2438,18-05-2023
